Year/Month,SMA Milk Price,WMA Milk Price,EMA Milk Price,Milk Price (1 month before),Milk Price (2 month before),Milk Price (3 month before),Milk Price
2013/04,0.44793333333333335,0.44603333333333334,0.44366249999999996,0.4435,0.4454,0.4549,0.4404999999999999
2013/05,0.4431333333333333,0.44231666666666664,0.43978125,0.4404999999999999,0.4435,0.4454,0.4359
2013/06,0.4399666666666666,0.43870000000000003,0.437540625,0.4359,0.4404999999999999,0.4435,0.4353
2013/07,0.4372333333333333,0.4363666666666666,0.43887031249999997,0.4353,0.4359,0.4404999999999999,0.4402
2013/08,0.4371333333333333,0.43785,0.44198515625,0.4402,0.4353,0.4359,0.4451
2013/09,0.4402,0.4418333333333333,0.44124257812499995,0.4451,0.4402,0.4353,0.4404999999999999
2013/10,0.4419333333333333,0.44198333333333323,0.4451212890625,0.4404999999999999,0.4451,0.4402,0.449
2013/11,0.4448666666666667,0.4455166666666666,0.44731064453125,0.449,0.4404999999999999,0.4451,0.4495
2013/12,0.4463333333333333,0.4478333333333333,0.44920532226562504,0.4495,0.449,0.4404999999999999,0.4511
2014/01,0.4498666666666667,0.45021666666666665,0.45080266113281253,0.4511,0.4495,0.449,0.4524
2014/02,0.45100000000000007,0.4514833333333334,0.4524013305664063,0.4524,0.4511,0.4495,0.454
2014/03,0.45249999999999996,0.45298333333333335,0.44810066528320314,0.454,0.4524,0.4511,0.4438
2014/04,0.45006666666666667,0.4486333333333333,0.4387003326416016,0.4438,0.454,0.4524,0.4293
2014/05,0.44236666666666663,0.43825000000000003,0.4330001663208008,0.4293,0.4438,0.454,0.4273
2014/06,0.43346666666666667,0.43071666666666664,0.4282000831604005,0.4273,0.4293,0.4438,0.4234000000000001
2014/07,0.42666666666666675,0.4256833333333334,0.42590004158020023,0.4234000000000001,0.4273,0.4293,0.4236
2014/08,0.42476666666666674,0.42415,0.4245000207901001,0.4236,0.4234000000000001,0.4273,0.4231
2014/09,0.42336666666666667,0.4233166666666666,0.42540001039505004,0.4231,0.4236,0.4234000000000001,0.4263
2014/10,0.4243333333333334,0.42478333333333335,0.42380000519752503,0.4263,0.4231,0.4236,0.4222
2014/11,0.4238666666666666,0.4237166666666667,0.4257500025987625,0.4222,0.4263,0.4231,0.4277
2014/12,0.4254,0.42563333333333336,0.4273250012993812,0.4277,0.4222,0.4263,0.4289
2015/01,0.42626666666666674,0.4273833333333334,0.4265125006496906,0.4289,0.4277,0.4222,0.4257
2015/02,0.42743333333333333,0.42710000000000004,0.4257562503248453,0.4257,0.4289,0.4277,0.425
2015/03,0.4265333333333334,0.42588333333333334,0.4242781251624227,0.425,0.4257,0.4289,0.4228
2015/04,0.42450000000000004,0.4240166666666667,0.4185390625812113,0.4228,0.425,0.4257,0.4128
2015/05,0.42019999999999996,0.41816666666666663,0.41821953129060563,0.4128,0.4228,0.425,0.4179
2015/06,0.41783333333333333,0.41701666666666665,0.4170097656453028,0.4179,0.4128,0.4228,0.4158
2015/07,0.4155,0.416,0.4162048828226514,0.4158,0.4179,0.4128,0.4154
2015/08,0.4163666666666666,0.41595000000000004,0.4160024414113257,0.4154,0.4158,0.4179,0.4158
2015/09,0.41566666666666663,0.41566666666666663,0.4170012207056628,0.4158,0.4154,0.4158,0.418
2015/10,0.41639999999999994,0.41683333333333333,0.41780061035283145,0.418,0.4158,0.4154,0.4186
2015/11,0.41746666666666665,0.4179333333333333,0.4185503051764157,0.4186,0.418,0.4158,0.4193
2015/12,0.41863333333333336,0.41885,0.4160751525882079,0.4193,0.4186,0.418,0.4136
2016/01,0.4171666666666667,0.4163333333333334,0.41598757629410393,0.4136,0.4193,0.4186,0.4159
2016/02,0.4162666666666666,0.4157,0.411143788147052,0.4159,0.4136,0.4193,0.4063000000000001
2016/03,0.41193333333333343,0.4107166666666668,0.400171894073526,0.4063000000000001,0.4159,0.4136,0.3892
2016/04,0.4038,0.39935000000000004,0.390085947036763,0.3892,0.4063000000000001,0.4159,0.38
2016/05,0.3918333333333333,0.38745,0.3828429735183815,0.38,0.3892,0.4063000000000001,0.3756
2016/06,0.3816,0.3793333333333333,0.37817148675919077,0.3756,0.38,0.3892,0.3735
2016/07,0.3763666666666667,0.37528333333333336,0.3766857433795954,0.3735,0.3756,0.38,0.3752
2016/08,0.37476666666666664,0.3747,0.3777928716897977,0.3752,0.3735,0.3756,0.3789
2016/09,0.3758666666666666,0.3767666666666667,0.3802964358448988,0.3789,0.3752,0.3735,0.3828
2016/10,0.3789666666666667,0.38023333333333326,0.38334821792244944,0.3828,0.3789,0.3752,0.3864
2016/11,0.38270000000000004,0.38395,0.38492410896122475,0.3864,0.3828,0.3789,0.3865
2016/12,0.3852333333333333,0.38585,0.3864620544806124,0.3865,0.3864,0.3828,0.388
2017/01,0.3869666666666667,0.3872333333333334,0.38678102724030616,0.388,0.3865,0.3864,0.3871
2017/02,0.3872,0.38730000000000003,0.3802405136201531,0.3871,0.388,0.3865,0.3737
2017/03,0.38293333333333335,0.38054999999999994,0.3797702568100766,0.3737,0.3871,0.388,0.3793
2017/04,0.3800333333333333,0.37873333333333337,0.3796851284050383,0.3793,0.3737,0.3871,0.3796
2017/05,0.37753333333333333,0.37851666666666667,0.37934256420251916,0.3796,0.3793,0.3737,0.379
2017/06,0.3793,0.37925000000000003,0.37977128210125954,0.379,0.3796,0.3793,0.3802
2017/07,0.37959999999999994,0.3797,0.37998564105062976,0.3802,0.379,0.3796,0.3802
2017/08,0.37979999999999997,0.38000000000000006,0.3841428205253149,0.3802,0.3802,0.379,0.3883
2017/09,0.38289999999999996,0.38425,0.3887714102626575,0.3883,0.3802,0.3802,0.3934
2017/10,0.3873,0.3895,0.39458570513132873,0.3934,0.3883,0.3802,0.4004
2017/11,0.3940333333333334,0.39605,0.4002928525656644,0.4004,0.3934,0.3883,0.406
2017/12,0.3999333333333334,0.4020333333333333,0.4038464262828322,0.406,0.4004,0.3934,0.4074
2018/01,0.4046,0.40576666666666666,0.40432321314141606,0.4074,0.406,0.4004,0.4048
