Year/Month,SMA Lemons Price,WMA Lemons Price,EMA Lemons Price,Lemons Price (1 month before),Lemons Price (2 month before),Lemons Price (3 month before),Lemons Price
2013/04,0.783707,0.7497326666666667,0.7128708750000001,0.7038460000000001,0.739583,0.907692,0.662
2013/05,0.7018096666666667,0.6888791666666667,0.7119909375,0.662,0.7038460000000001,0.739583,0.7111109999999999
2013/06,0.692319,0.6935298333333334,0.72449546875,0.7111109999999999,0.662,0.7038460000000001,0.737
2013/07,0.7033703333333333,0.7158703333333333,0.737247734375,0.737,0.7111109999999999,0.662,0.75
2013/08,0.7327036666666666,0.7391851666666667,0.7911238671875,0.75,0.737,0.7111109999999999,0.845
2013/09,0.7773333333333333,0.7953333333333333,0.83006193359375,0.845,0.75,0.737,0.8690000000000001
2013/10,0.8213333333333334,0.8411666666666667,0.860864466796875,0.8690000000000001,0.845,0.75,0.8916670000000001
2013/11,0.8685556666666666,0.8763335,0.8708167333984375,0.8916670000000001,0.8690000000000001,0.845,0.8807689999999999
2013/12,0.8804786666666667,0.8824401666666667,0.8347833666992187,0.8807689999999999,0.8916670000000001,0.8690000000000001,0.79875
2014/01,0.857062,0.8415758333333333,0.7598916833496094,0.79875,0.8807689999999999,0.8916670000000001,0.685
2014/02,0.788173,0.7555448333333334,0.6929893416748047,0.685,0.79875,0.8807689999999999,0.626087
2014/03,0.7032790000000001,0.6745018333333332,0.6594756708374023,0.626087,0.685,0.79875,0.625962
2014/04,0.645683,0.6358433333333333,0.6417568354187011,0.625962,0.626087,0.685,0.624038
2014/05,0.6253623333333334,0.6250208333333332,0.6444894177093505,0.624038,0.625962,0.626087,0.647222
2014/06,0.6324073333333333,0.6359506666666667,0.6572447088546753,0.647222,0.624038,0.625962,0.67
2014/07,0.6470866666666666,0.6547470000000001,0.6860298544273377,0.67,0.647222,0.624038,0.714815
2014/08,0.6773456666666666,0.6886111666666667,0.7502264272136688,0.714815,0.67,0.647222,0.814423
2014/09,0.7330793333333334,0.7571498333333334,0.8251132136068344,0.814423,0.714815,0.67,0.9
2014/10,0.809746,0.8406101666666667,0.9107046068034172,0.9,0.814423,0.714815,0.996296
2014/11,0.9035730000000001,0.9338851666666667,0.9018523034017086,0.996296,0.9,0.814423,0.893
2014/12,0.9297653333333334,0.9285986666666668,0.8488426517008543,0.893,0.996296,0.9,0.7958329999999999
2015/01,0.8950429999999999,0.8616324999999999,0.8204998258504271,0.7958329999999999,0.893,0.996296,0.792157
2015/02,0.8269966666666666,0.8101894999999999,0.8039999129252136,0.792157,0.7958329999999999,0.893,0.7875
2015/03,0.79183,0.7904411666666666,0.8173844564626067,0.7875,0.792157,0.7958329999999999,0.830769
2015/04,0.8034753333333334,0.8099106666666666,0.8336922282313033,0.830769,0.7875,0.792157,0.85
2015/05,0.8227563333333333,0.8331729999999999,0.8568461141156516,0.85,0.830769,0.7875,0.88
2015/06,0.8535896666666667,0.8617948333333333,0.9044230570578258,0.88,0.85,0.830769,0.952
2015/07,0.894,0.9109999999999999,0.9152325285289129,0.952,0.88,0.85,0.926042
2015/08,0.9193473333333332,0.927021,0.9433307642644564,0.926042,0.952,0.88,0.971429
2015/09,0.9498236666666666,0.9530618333333333,0.9692613821322282,0.971429,0.926042,0.952,0.995192
2015/10,0.9642209999999999,0.975746,0.9707416910661142,0.995192,0.971429,0.926042,0.972222
2015/11,0.9796143333333333,0.9797465000000001,0.9448708455330571,0.972222,0.995192,0.971429,0.919
2015/12,0.962138,0.9494393333333333,0.9172884227665286,0.919,0.972222,0.995192,0.889706
2016/01,0.9269759999999999,0.9132233333333334,0.8894952113832643,0.889706,0.919,0.972222,0.861702
2016/02,0.890136,0.8805863333333334,0.9012476056916321,0.861702,0.889706,0.919,0.913
2016/03,0.8881359999999999,0.8920183333333332,0.9199633028458161,0.913,0.861702,0.889706,0.938679
