Year/Month,SMA Tomatoes Price,WMA Tomatoes Price,EMA Tomatoes Price,Tomatoes Price (1 month before),Tomatoes Price (2 month before),Tomatoes Price (3 month before),Tomatoes Price
2013/04,1.9825213333333334,2.0107265,1.643253375,1.909231,2.298333,1.74,1.322308
2013/05,1.8432906666666664,1.6806198333333333,1.1991266875,1.322308,1.909231,2.298333,0.755
2013/06,1.3288463333333331,1.1364745,0.84914684375,0.755,1.322308,1.909231,0.499167
2013/07,0.858825,0.7216348333333334,0.639573421875,0.499167,0.755,1.322308,0.43
2013/08,0.561389,0.5072223333333333,0.46709421093750003,0.43,0.499167,0.755,0.294615
2013/09,0.40792733333333336,0.37383533333333335,0.49461860546875,0.294615,0.43,0.499167,0.522143
2013/10,0.415586,0.4309431666666667,0.5251663027343749,0.522143,0.294615,0.43,0.5557139999999999
2013/11,0.4574906666666667,0.5010071666666667,0.5306601513671875,0.5557139999999999,0.522143,0.294615,0.536154
2013/12,0.5380036666666667,0.5403388333333333,0.8573300756835938,0.536154,0.5557139999999999,0.522143,1.184
2014/01,0.7586226666666667,0.8633369999999999,1.291357537841797,1.184,0.536154,0.5557139999999999,1.725385
2014/02,1.1485130000000001,1.3467181666666665,1.6002622689208985,1.725385,1.184,0.536154,1.909167
2014/03,1.606184,1.7270451666666666,1.6835926344604493,1.909167,1.725385,1.184,1.766923
2014/04,1.8004916666666668,1.8074146666666666,1.3094888172302246,1.766923,1.909167,1.725385,0.935385
2014/05,1.5371583333333334,1.3748613333333335,0.9147444086151123,0.935385,1.766923,1.909167,0.52
2014/06,1.0741026666666667,0.8662821666666667,0.8053722043075562,0.52,0.935385,1.766923,0.696
2014/07,0.7171283333333335,0.6772308333333333,0.6211476021537781,0.696,0.52,0.935385,0.436923
2014/08,0.5509743333333333,0.5371281666666666,0.515073801076889,0.436923,0.696,0.52,0.409
2014/09,0.5139743333333333,0.46614099999999997,0.7040754005384445,0.409,0.436923,0.696,0.893077
2014/10,0.5796666666666667,0.6556923333333334,0.8313559502692223,0.893077,0.409,0.436923,0.9586365
